State,Year,black_male_mortality,black_female_mortality,white_male_mortality,white_female_mortality
Iowa,1984,697.526949904883,605.0680132842,1008.77663807751,908.880881700048
Iowa,1985,795.863309352518,612.695409289544,1049.56464750492,947.026558789966
Iowa,1986,697.643218102947,696.597905712103,1027.20894415607,940.268326212573
Iowa,1987,680.903744970597,652.84007638673,1047.43505211047,952.343266615825
Iowa,1988,657.980174018441,575.589761479091,1063.27137129344,985.010799073913
Iowa,1989,670.009691964098,630.82133784928,1015.87818681648,978.493718369676
Iowa,1990,760.016522098307,686.298976790616,1009.36655345808,957.202633529264
Iowa,1991,811.463404979615,548.197351046377,1008.79310541462,977.677984415466
Iowa,1992,676.80608365019,547.501542257866,978.17459718672,941.403399464859
Iowa,1993,701.574889465415,616.24649859944,997.872833028257,1007.88555146791
Iowa,1994,721.44993841281,618.713365655981,1005.48296136577,971.500851511875
Iowa,1995,802.952130385759,598.018400566171,985.377621822878,1001.94251287971
Iowa,1996,681.436613227113,560.715514275886,965.126326034135,1003.42011194371
Iowa,1997,619.741827756727,524.281633338935,969.686277968892,985.934054225322
Iowa,1998,624.555545249358,625.306924210182,971.796241938908,1019.00578254499
Kansas,1980,979.514951730633,829.370784031848,1021.26665974827,866.958281786698
Kansas,1981,813.590310047993,737.240657514006,998.971565678467,858.72903170109
Kansas,1982,778.344850428316,719.741257573227,996.402135802186,863.156124765295
Kansas,1983,851.659395798282,746.201293816759,999.271962908426,856.64139029628
Kansas,1984,798.733858919934,763.279118651143,995.554356848742,890.447031176944
Kansas,1985,771.061816376302,708.363400733399,971.796315427938,895.706471300949
Kansas,1986,818.855335557385,727.960981291403,975.099107463896,906.610433060771
Kansas,1987,846.612126222172,687.487441513334,958.703871563079,897.519158332251
Kansas,1988,834.069276812874,746.015598507969,979.477233443427,939.791458180875
Kansas,1989,768.098227679316,723.907138256462,930.488661493992,919.451064236011
Kansas,1990,805.26380993021,691.042808575592,945.014869334712,904.272012450184
Kansas,1991,859.450550947303,724.300981222839,942.690023167655,902.688166074126
