State,Year,Gender.Code,Race,Group_Population,Group_Deaths,State_Population,State_Deaths,population_proportion,deaths_proportion,black_male_mortality,black_male_mortality_weighted,black_male_mortality_weighted_2,black_female_mortality,black_female_mortality_weighted,black_female_mortality_weighted2,hispanic_male_mortality,hispanic_male_mortality_weighted,hispanic_male_mortality_weighted2,hispanic_female_mortality,hispanic_female_mortality_weighted,hispanic_female_mortality_weighted2,white_male_mortality,white_male_mortality_weighted,white_male_mortlaity_weighted2,white_female_mortality,white_female_mortality_weighted,white_female_mortality_weighted2
South Dakota,1995,F,White,341670,3130,738375,6915,0.462732351447435,0.452639190166305,,,,,,,,,,,,,,,,423.903842898256,916.088623525624,191.875492157851
South Dakota,1996,F,White,342295,3046,742683,6797,0.460889773968167,0.448138884802119,,,,,,,,,,,,,,,,410.134606554883,889.875692020041,183.797265200261
South Dakota,1997,F,White,342060,3084,744434,6865,0.459490028666074,0.449235251274581,,,,,,,,,,,,,,,,414.274468925385,901.596211191019,186.106695144339
South Dakota,1998,F,White,342021,3221,746501,6867,0.458165494754863,0.469054900247561,,,,,,,,,,,,,,,,431.479663121684,941.755038433313,202.387650344392
Tennessee,1980,F,White,1977209,14941,4595143,40774,0.430282365532476,0.366434492568794,,,,,,,,,,,,,,,,325.147661345904,755.661136480767,119.145318295216
Tennessee,1981,F,White,1992924,15019,4628211,40509,0.430603531256462,0.370757115702683,,,,,,,,,,,,,,,,324.509837602478,753.616294449763,120.314331406641
Tennessee,1982,F,White,2001281,15052,4646503,40292,0.43070692088222,0.373572917700784,,,,,,,,,,,,,,,,323.942543456875,752.118268249186,121.016161126598
Tennessee,1983,F,White,2007144,15883,4658925,41621,0.430816980311982,0.381610244828332,,,,,,,,,,,,,,,,340.915554553894,791.323392840773,130.096868239098
Tennessee,1984,F,White,2019000,16009,4686096,42334,0.430849047906829,0.378159399064582,,,,,,,,,,,,,,,,341.627657649352,792.917285785042,129.18970972052
Tennessee,1985,F,White,2030775,16610,4717235,43226,0.43050113042916,0.384259473465044,,,,,,,,,,,,,,,,352.113049275688,817.914343046374,135.302774914847
Tennessee,1986,F,White,2040157,17172,4740418,44250,0.430374916304849,0.38806779661017,,,,,,,,,,,,,,,,362.246536064963,841.699927995738,140.576215080397
Tennessee,1987,F,White,2057435,17527,4786279,44919,0.429861067438818,0.390191233108484,,,,,,,,,,,,,,,,366.192610167523,851.885964805693,142.88514611648
Tennessee,1988,F,White,2070909,18101,4827504,45775,0.428981312081771,0.395434188967777,,,,,,,,,,,,,,,,374.955670673706,874.060617825313,148.270291531726
Tennessee,1989,F,White,2082405,17765,4860544,45452,0.428430439061965,0.390851887705712,,,,,,,,,,,,,,,,365.494068153688,853.100141423018,142.854046483109
Tennessee,1990,F,White,2089872,18161,4880859,46315,0.428177089319728,0.392119183849725,,,,,,,,,,,,,,,,372.086143033429,869.000589509788,145.90211472806
Tennessee,1991,F,White,2123791,18400,4968973,46309,0.427410452823954,0.397330972381179,,,,,,,,,,,,,,,,370.297846255152,866.375269506274,147.130803323216
Tennessee,1992,F,White,2153618,18640,5051188,46576,0.42635871006979,0.400206114737204,,,,,,,,,,,,,,,,369.022099355637,865.5202547527,147.684900635286
Tennessee,1993,F,White,2184472,20084,5139306,49249,0.425051942810955,0.407805234624053,,,,,,,,,,,,,,,,390.792064142513,919.398371780458,159.367049406855
Tennessee,1994,F,White,2219012,20914,5233322,50525,0.424015950098236,0.413933696190005,,,,,,,,,,,,,,,,399.631438692288,942.491523254493,165.420918531628
Tennessee,1995,F,White,2254571,21020,5328891,51302,0.423084465416913,0.409730614790846,,,,,,,,,,,,,,,,394.4535551581,932.328145798026,161.619697661363
Tennessee,1996,F,White,2287597,21371,5419660,51419,0.422092345276272,0.415624574573601,,,,,,,,,,,,,,,,394.323629157549,934.211751457971,163.890590612925
Tennessee,1997,F,White,2319200,21970,5501676,52665,0.42154427123662,0.417165100161398,,,,,,,,,,,,,,,,399.332857841865,947.309417040359,166.587731639339
Tennessee,1998,F,White,2342691,22566,5573935,53415,0.420293921619107,0.422465599550688,,,,,,,,,,,,,,,,404.84863924678,963.25123543822,171.034623106671
Texas,1980,F,White,6269830,41378,14268965,108180,0.439403278373729,0.382492142725088,,,,,,,,,,,,,,,,289.985994078758,659.954097639011,110.917364235449
Texas,1981,F,White,6479648,42655,14779030,110548,0.438435269432432,0.385850490284763,,,,,,,,,,,,,,,,288.618400531023,658.291931907412,111.363551350099
Texas,1982,F,White,6724099,43244,15366008,111319,0.437595698245114,0.388469174175118,,,,,,,,,,,,,,,,281.426379577572,643.1196209336,109.325473265593
Texas,1983,F,White,6893515,44812,15773066,114813,0.43704343847924,0.390304233841116,,,,,,,,,,,,,,,,284.104561535468,650.060237774198,110.887213220867
Texas,1984,F,White,6998290,46451,16025603,117021,0.436694332188312,0.396945847326548,,,,,,,,,,,,,,,,289.854927767773,663.74785840541,115.056709904554
Texas,1985,F,White,7105682,46532,16294915,118336,0.436067448035169,0.39321930773391,,,,,,,,,,,,,,,,285.561477307491,654.856212253799,112.288286422324
Texas,1986,F,White,7220360,46888,16578053,118747,0.435537273285349,0.394856291106302,,,,,,,,,,,,,,,,282.831765587913,649.385903195963,111.67790196709
Texas,1987,F,White,7237936,48100,16635523,120022,0.435089176336686,0.400759860692206,,,,,,,,,,,,,,,,289.140293334932,664.554093874276,115.875823677411
Texas,1988,F,White,7251412,49530,16686059,122874,0.434579069869045,0.40309585428976,,,,,,,,,,,,,,,,296.834621045029,683.039385984413,119.652805152923
Texas,1989,F,White,7303478,50449,16832321,124878,0.433896074106476,0.403986290619645,,,,,,,,,,,,,,,,299.71505415088,690.753090513862,121.08077296928
Texas,1990,F,White,7366337,50484,17008748,125479,0.433091077603125,0.402330270403813,,,,,,,,,,,,,,,,296.81196993453,685.33383688528,119.416440122848
Texas,1991,F,White,7521772,51221,17405312,126795,0.432153816030417,0.403967033400371,,,,,,,,,,,,,,,,294.283722118857,680.969856571031,118.880922202374
Texas,1992,F,White,7659228,52599,17766812,129108,0.431097486707238,0.40740310437773,,,,,,,,,,,,,,,,296.051987267046,686.740230216414,120.612498669791
