State,Year,black_male_mortality,black_female_mortality,hispanic_male_mortality,hispanic_female_mortality,white_male_mortality,white_female_mrtality
Colorado,1996,12.3935487243698,10.0984471087457,,,312.082817466743,313.48537956518
Colorado,1997,11.9187375991632,11.1971438823036,,,305.234142231596,301.675938731219
Colorado,1998,11.6556059822398,10.8300005584978,,,306.858109994925,308.727863454576
Colorado,1999,12.4467051489132,11.5238505846402,33.4593936892839,25.3903319862812,302.41234183101,306.506030026375
Colorado,2000,12.438212886872,11.1827671001597,32.9670763992234,25.8063856157531,297.494153458718,303.701635404129
Colorado,2001,11.9981372383542,9.80638712136669,35.9266256289701,26.5721457482194,296.315577671896,310.663632561453
Colorado,2002,12.159256868978,10.6003777832116,36.3664221008078,27.837126531543,308.903025695227,309.237071213605
Colorado,2003,13.1604166464255,10.621074508273,38.1784570162244,29.0147440828912,304.456081746502,313.134007488189
Colorado,2004,11.5628086739863,9.39888039662401,38.7977039628084,28.240356912647,295.868011741169,291.977312414194
Colorado,2005,12.4139443786206,10.9242710531861,39.5734957321939,29.4264455444519,303.958126794085,301.626464197753
Colorado,2006,12.1175581086695,9.15172220794619,36.0984598202322,29.6795435493811,293.427093292275,299.507056888758
Colorado,2007,11.6364562889738,10.220930300333,37.8028705201725,28.4146025660988,298.884149189778,294.221240050726
Colorado,2008,12.8636959504922,10.1641603933142,39.5522861180474,31.8422489585315,304.843007691631,300.180173547415
Colorado,2009,12.9520262177972,10.0358091345975,40.3845786418272,31.0929076594945,297.413918802461,293.834010934809
Colorado,2010,13.0239505479604,10.5981154840654,37.3419528688085,29.8059570555612,295.991645583111,294.619656899433
Colorado,2011,12.8166053188912,11.0973046053814,38.9968661836995,31.1232504161489,303.534725966911,295.700185215577
Colorado,2012,13.2373334422636,11.2334285252397,40.8680993173814,31.6578440256754,304.015497892335,295.575975261023
Colorado,2013,13.6874399988002,10.3842297910454,40.606704795331,32.9371822439922,305.015393149408,297.099079030823
Colorado,2014,12.8419664247068,11.1969983819496,40.8998872449178,34.1143940685443,317.217132790793,302.505884499317
Colorado,2015,14.4067916368666,11.690606716795,43.7709529349388,34.3377161179331,321.042045991985,304.983520282102
Colorado,2016,14.0960862153452,11.2082836616253,45.4828902210884,35.357532517108,332.38607393316,303.00268294906
Connecticut,1980,24.9893787100142,18.331976659856,,,431.862776471133,400.569770699133
Connecticut,1981,25.7742495126208,19.4823943032202,,,418.743724113966,389.647886064403
Connecticut,1982,25.2452819496871,18.4007225307934,,,417.77280583322,391.604304240985
Connecticut,1983,26.9578408444473,18.8041211048606,,,414.796789077808,398.900195942102
Connecticut,1984,27.2433671670606,23.4098137710036,,,414.903598701117,407.613562734844
Connecticut,1985,27.7438478251507,22.5009159526813,,,416.313757016322,410.852369649167
Connecticut,1986,30.7447513099836,23.3994831038686,,,406.00427637176,408.948582192777
Connecticut,1987,31.3121899155063,21.8385607465712,,,406.25874695875,409.949771310283
Connecticut,1988,32.5123233916856,24.5139865572991,,,401.38218587219,411.059562881734
Connecticut,1989,33.6159813721831,23.7897714326219,,,396.181832950172,402.41828198302
Connecticut,1990,30.9323032703991,25.1838221316524,,,382.4108643252,398.105130291302
Connecticut,1991,32.1150305304671,24.2754519184115,,,388.376962051294,400.000121074573
Connecticut,1992,34.6824135930829,25.9890924566508,,,389.775806214664,403.012674983378
Connecticut,1993,35.2875954132168,26.2844246656667,,,392.544286989663,419.644435179437
Connecticut,1994,38.2282588836987,29.2741635457976,,,393.166186200563,419.09386967058
Connecticut,1995,34.713824524926,27.4642303217135,,,396.140689054376,424.14638284355
Connecticut,1996,33.3138902445126,27.0225980220776,,,389.970242187788,430.68389042726
Connecticut,1997,28.9567624787228,26.8969515395146,,,387.841503220171,430.5601909594
Connecticut,1998,31.3074111533395,29.4360953064131,,,381.986060182112,435.838371776993
Connecticut,1999,29.7661145268974,27.6399634892619,14.7649377613579,9.74485892249618,380.108557728397,427.208709187128
Connecticut,2000,31.4191624590927,28.8057928713738,14.2707597711393,9.80747687975417,384.45896642701,435.434355239145
Connecticut,2001,30.4121811855216,29.1304417485839,13.720438063583,11.2443505149534,369.723566673027,434.334886471386
Connecticut,2002,30.3577969953876,27.4376660463075,14.7163034958593,11.1601044192568,380.657862134546,426.570416066618
Connecticut,2003,28.5850733109551,27.6666773812859,14.9813336027295,11.4512492480633,370.027460038297,418.300646091537
Connecticut,2004,29.4900537571358,28.2601097110089,15.3313955517214,12.5282672605485,366.065672147259,408.856283612512
Connecticut,2005,29.9119806464638,27.6878295593101,17.1373692740941,13.1453032202286,361.709699237744,413.920220270799
Connecticut,2006,29.964804148448,28.0600205830344,17.9390810414333,13.1913369306261,359.549220175922,407.737401420343
Connecticut,2007,30.7036319873443,28.1520836227451,17.4922815661971,13.523206332376,350.129136697786,396.907523382106
Connecticut,2008,28.9938540362519,27.6964636805441,17.6839946310603,13.6225987349316,351.367153291465,397.396306780924
Connecticut,2009,29.0021329061344,29.0582841799121,19.4564163639411,13.7570620755139,344.291535167402,393.002765169477
Connecticut,2010,29.1542171351253,28.8464470885933,19.5014293120752,15.3045650411838,350.242312953454,386.894927585905
Connecticut,2011,30.3351659784846,28.4688150872463,18.3570930944181,15.7664866334456,357.642971531463,398.256995403484
Connecticut,2012,27.770087052823,29.9404946581538,21.2866899753603,15.4711106226148,358.33986078783,391.341186684271
Connecticut,2013,30.6729443774101,30.1723886214778,21.0233417491587,17.1579389672367,360.31671831197,394.910682777517
Connecticut,2014,30.5690095390344,31.0979814709485,23.5253306561785,18.0407269410695,364.990633020711,395.698845699723
Connecticut,2015,32.0526232101162,32.8895063226519,23.8511687072667,19.5272726258324,371.994543522106,405.748829061045
Connecticut,2016,34.727154174025,35.1465642485905,25.3323685037574,19.656352161304,378.391769273011,395.000408225806
Delaware,1980,79.0906755284046,57.7647396640577,,,367.578532339019,341.382894584388
Delaware,1981,71.2300849062612,53.2968635298613,,,374.586446507044,349.781616939687
Delaware,1982,74.8876268628089,63.879646076739,,,374.271346726377,336.410564325803
Delaware,1983,74.6293299871215,58.1184162731566,,,358.947264141598,333.685566159231
Delaware,1984,71.2740897432335,64.4082370615458,,,357.841702862243,336.426781402694
Delaware,1985,80.4874500993972,61.4161265818693,,,374.638372149403,364.29460346193
Delaware,1986,79.2992367846548,65.2865202443945,,,388.215942331302,359.2350967594
Delaware,1987,71.2147925986811,64.940361532718,,,378.661914830873,361.720950952772
Delaware,1988,79.2611748233201,64.6117358968309,,,375.796659619515,367.31540550418
Delaware,1989,81.4631201133505,67.8100832228449,,,367.114991944708,367.114991944708
Delaware,1990,76.1870482018057,66.8886289330814,,,356.639371306878,360.688682923903
Delaware,1991,74.4708400574113,69.4963635113367,,,358.601235718497,359.771700788162
Delaware,1992,74.6721761975604,62.5865060615391,,,349.045663690331,364.296628385786
Delaware,1993,84.8993730181303,66.0800119991114,,,357.992356226449,357.567859361359
Delaware,1994,79.4018947799523,64.7752299520663,,,380.711190234403,353.408082555682
Delaware,1995,82.7285066819705,69.3056695050945,,,348.171960241008,354.883378829446
Delaware,1996,84.1730403464044,73.1118395316526,,,356.251601850728,358.27499224367
Delaware,1997,67.3029858051885,67.5690055119283,,,357.796505565132,367.506224861138
Delaware,1998,73.9682735019461,68.0769950814371,,,355.178630107575,359.237066352814
Delaware,1999,73.6783700434844,64.9040632782358,6.45169615091808,5.16135692073446,354.843288300494,361.553052297449
Delaware,2000,74.0173557937724,71.0821847881572,8.03981623277182,4.9770290964778,353.369065849923,373.404798366514
Delaware,2001,72.2635066777764,76.2851279189744,6.66081018073417,5.02702655149749,358.678344449346,381.174288267297
Delaware,2002,74.9222557553069,62.7659957155386,6.32621695947128,6.07813001988417,340.127194173926,366.672496709747
Delaware,2003,78.2393218606778,72.8603684827562,7.45718536484585,5.13445549710698,348.042733339609,359.900880559118
Delaware,2004,74.8673271521648,69.9323425649643,9.38850726345476,4.81461910946398,357.605834355437,351.106098557661
Delaware,2005,72.8864698574218,74.4246583446726,8.75584215819677,5.44282080104124,361.829261077915,368.218659409572
Delaware,2006,74.5983790854541,69.2449852665292,8.844737613876,6.05166257791516,340.406020007728,347.38870759763
Delaware,2007,70.6625416260873,66.7623364064656,8.37397003036424,5.50617207476005,345.97114536409,348.494807565022
Delaware,2008,69.0143617755472,69.2406383715326,8.03281915748172,5.54377660164232,352.878351439232,363.060798258575
Delaware,2009,73.3405851546993,70.0884796967692,6.84063561840467,6.84063561840467,342.704630325323,351.900238861539
Delaware,2010,77.6226315074382,65.0381876618994,7.3502061398722,4.12057010871623,351.473493597525,357.153198341972
Delaware,2011,73.9048642837947,66.1949678607461,9.0315929527141,5.61721025107828,350.469863116296,365.779514584921
Delaware,2012,73.9373146796104,79.6080231801115,7.74269814491496,6.32502101978968,341.223978808999,353.110656242741
Delaware,2013,71.537019326882,70.5644616623172,9.72557664564861,6.37565580103631,359.089902149893,350.12075924335
Delaware,2014,77.5444195826934,77.5444195826934,10.1609929108357,6.73834266718577,364.512250948716,351.249481254572
Delaware,2015,76.6887411606693,79.4427567272127,9.6390544829018,6.35542053817701,381.537079641893,361.411581270999
